timestamp,rate
1655679498,1028327594600088450724742946
1655764768,1028430127337714540873785202
1655855032,1028537459816155530029681806
1655948265,1028648713128345690215441392
1656133955,1028870792044367037579410399
1656227854,1028983791573806158062493864
1656320957,1029096447561969681971221330
1656414600,1029211414125755348808435812
1656507451,1029316227654002773627484408
1656601377,1029429559372708185506969368
1656678815,1029523618065120550016203495
1656754561,1029615611848183521206285083
1656830310,1029709863690817326373202110
1656981821,1029897352999515642818458091
1657057564,1029992439594182747955859853
1657133307,1030082929186402994490724061
1657209051,1030176558094566769975853933
