block,timestamp,apy
15008891,1656585325,0.037413915
15010641,1656587075,0.037463903
15012391,1656588825,0.037513894
15014141,1656590575,0.037563887
15015891,1656592325,0.037613882
15017641,1656594075,0.03765748
15019391,1656595825,0.03765748
15021141,1656597575,0.03765748
15022891,1656599325,0.03765748
15024641,1656601075,0.03765748
15026391,1656602825,0.037661691
15028141,1656604575,0.03766678
15029891,1656606325,0.037671869
15031641,1656608075,0.037676958
15033391,1656609825,0.037682047
15035141,1656611575,0.037687136
15036891,1656613325,0.037692225
15038641,1656615075,0.037697315
15040391,1656616825,0.037702404
15042141,1656618575,0.037707493
15043891,1656620325,0.037712582
15045641,1656622075,0.037717671
15047391,1656623825,0.037722761
15049141,1656625575,0.03772785
15050891,1656627325,0.037732939
15052641,1656629075,0.037738029
15054391,1656676600,0.03787625
15056141,1656678350,0.03788134
15057891,1656695584,0.037907288
15059641,1656718506,0.037905277
15061391,1656741428,0.037903265
15063141,1656764350,0.038008052
15064891,1656787588,0.038261548
15066641,1656810511,0.038511744
15068391,1656833434,0.038753981
15070141,1656856672,0.038776514
15071891,1656879594,0.038717676
15073641,1656902517,0.038658838
15075391,1656925439,0.03862241
15077141,1656948678,0.03862241
15078891,1656971601,0.03862241
15080641,1656994523,0.038705406
15082391,1657017761,0.038857264
15084141,1657040683,0.039007078
15085891,1657063605,0.039021662
15087641,1657086528,0.038538758
15089391,1657109766,0.03801889
15091141,1657132688,0.037506346
15092891,1657155610,0.037593086
15094641,1657178848,0.037946189
15096391,1657201772,0.038294639
15098141,1657224694,0.038564399
15099891,1657247617,0.038560096
15101641,1657270855,0.038555733
