owner,tickLower,tickUpper,amount
0x005ae102dd1ab7b2c56276ebbe32e6db43143f81,-69060,0,0.0
0x0065981684b5e02f95283b8ce1916b8981206a3d,-76020,0,0.0
0x006970fd32059734e586a323b13fc1ce625f296b,-46080,0,0.0
0x008e576250f26067ae66756715d6bbdec731711e,-69060,0,0.00151784252335665
0x00c865e2114d1c0066809f11f4aed7a8ec2d5173,-76020,0,0.0
0x0149ca45bb12c60796660a5143717f84777c59d0,-10980,-6960,0.0
0x01a8867091917b01b2726527d12bf6e590269c2f,-69060,0,0.0
0x01c6832dbb2931c4073de5aebc06d1f4fb632b74,-69060,0,0.0
0x020a4b2be4db2d5287a160bc89420e3fe4051fdc,-24840,0,0.0
0x028a1978c2be2bed845e637df20530dcff05b8de,-23040,0,0.0
0x0382faafa6d3920af755fd66db933530cddf4b65,-26040,-20160,0.0
0x03c8ff631d09f25bd0ef19c2c97a70e9540e4399,-23040,0,0.0
0x05092960e7517d70593838cfd5ec0685e46cef8b,-48180,-43320,0.0
0x059aa505f8534c2a49e52a5a57d41e6c9ee6d2bd,-10980,-6960,0.0
0x06a7f3e459b6a452c579929eb6b83729b5a5ff15,-23040,0,0.0
0x06aa5e77cf3bec21129ddbf29b531ed742a4109c,-69060,0,0.0
0x06e26ac874124d59e3c32451a4cab91c48d6b32a,-50100,0,0.0
0x06f720091c6040d51ac18fa3c142ba88afcae458,-93900,0,0.0
0x070cb42f348558bcf4a2acf937f1893962cfbc56,-23040,0,0.0
0x0753b67b47c5f64680e003c6b79dbea8fb48c244,-105960,-34020,0.0
0x075ebaf083b350e7aa9acc46cec2c851bdaaeb05,-48600,-42600,0.0
0x07c46fb172c19b4ea1a142b6fd81bd323db9208e,-23040,0,0.0
0x095b82ff43e0c7e6c916cca428247fa0647e564c,-69060,0,0.0
0x0960da039bb8151cacfef620476e8baf34bd9565,-69060,0,67.7677821316973
0x0a5c7480c4e44ff77a4cc92f52a1db5085f08741,-69060,0,0.0
0x0b317f16123d9a0951640946315fc43e1fe0d661,-29940,69060,0.0
0x0b76e63a40e99ba9f8327d83761cb409d3d7a3cd,-69060,0,0.0
0x0bce7314542a71ca771ab2e2da9b59f6205e2c15,-76020,0,0.0
0x0c62378e1eab27786da0f800e49dec1197efccaf,-32220,-23040,0.000070921224012115
0x0c9f37f77bea2c6e6f15c1a8c4d7316a3ee7408b,-69060,0,0.0
0x0d21d993188c6dfadd23368a5bc5e4199a2f3ba8,-93900,0,0.0
0x0d8be953d7b8143738b8d377ea9a0b82d421f151,-13860,0,0.0
0x0d9032a97a6c35aa2f7eaec1e4d25b7551c650be,-93060,0,0.0
0x0f60991d8b2dd73c75b1a86b4fea80d5d5adb929,-39120,-35580,0.0
0x1146effca0ea571d3a43077101d505a28f2a94cf,-29940,69060,0.0
0x1252ce90ad6a743ce9dddf41cb99d6319750d769,-69060,0,0.0
0x12641ae0e159c560a6d6731feac64cc494e1d140,-76020,0,0.0
0x12dc0085ca4a1e3497c042605ceedbdd93936346,-69060,0,0.0
0x12fa2210e5a3b0f2fbf504cd14c9454fc828aaf0,-10980,-6960,0.0
0x1327b3c8eb78e34596b0179071a5692ded968468,-23040,0,0.0
0x1389b827cdae6deaf74e157df7675770d9b4f34c,-23220,0,0.0
0x1514dd4353760f8c3002aee4daf9c9fd98452565,-48060,-43560,0.0
